Subject Number,Class Year,Gender,Race_Ethnicity,MC1_PriorStrategyDunlosky,MC1_PriorStrategyChew,MC1_PriorStrategyUtility,MC1_FutureStrategyDunlosky,MC1_FutureStrategyChew,MC1_FutureUtility,MC1_ChewMisconceptions,MC1_StudyTools,MC1_StudyPlan,MC1_StudySupport,MC1_StudyOther,MC2_UsedStrategyDunlosky,MC2_UsedChewStrategies,MC2_UsedUtility,MC2_FutureStrategyDunlosky,MC2_FutureUtility,MC2_FutureChewStategies,MC2_reflectioneffective,MC2_reflectionExplanation,MC2_ChewMisconceptions,MC2_StudyTools,MC2_StudyPlan,MC2_StudySupport,MC2_StudyOther,MC2_Concentrating,MC2_Remembering,MC2_Organizing,MC2_Studying chapter,MC2_listening/taking notes,MC2_taking tests,MC2_motivation,MC2_AnticipatedLetterGrade,MC_2AnticipatedGrade,MC2_ActualLetterGrade,MC2_ActualGrade,MC2_ExamFeelings,MC2_Timing,MC2_TimingExplain,MC2_ExamStrategy,MC3_UsedDunloskyStrategy,MC3_UsedUtility,MC3_UsedChewStrategy,MC3_FutureDunloskyStrategy,MC3_FutureUtility,MC3_FutureChewStrategy,MC3_reflectioneffective,MC3_reflectionExplanation,MC3_StudyTools,MC3_StudyPlan,MC3_StudySupport,MC3_StudyOther,MC3_Concentrating,MC3_Remembering,MC3_Organizing,MC3_Studying chapter,MC3_listening/taking notes,MC3_taking tests,MC3_motivation,MC3_AnticipatedLetterGrade,MC3_AnticipatedGrade,MC3_ActualLetterGrade,MC3_ActualGrade,MC3_ExamFeelings,MC3_Timing,MC3_TimingExplain,MC3_ExamStrategy,MC3_Usefulness,MC3_ExpectedFinalExamGrade,Final Exam Grades,FInal Exam Letter grade ,Final Grade,Coder Notes
S10,First Year Student/Freshman,Cisgender Female,Asian,"Distributed, TestPractice, ReRead",NoDistractions,,"Interleaved, Summary",GroupStudy,,1,"Flashcards, Studyguide, study group",Study one week before the exam,Office hours ,Good Sleep before exam,Summary,NA,,"Distributed, Interrogation",,NA,Yes,Summarizing helped bring central ideas together,1,Distributed,NA,NA,NA,0,1,1,0,1,1,0,A,90,A,90,"confident, nervous, unsure",N,"skip questions they aren't sure about, move on to the next question they understand","Complete easier questions first, then come back to harder questions","Summary, Distributed",,NA,"Interleaved, Summary",,NA,Y,They can see what is going well and what areas need work.,NA,NA,NA,NA,0,1,1,0,0,1,0,A,90,A,92,"Confident, Tired",N,They skipped harder questions and came back to them after completing easier questions ,NA,3,,92,A,99.37,
S8,Third Year Student/Junior ,Transgender Woman,White or European American ,"Interleaved, TestPractice, ReRead, SelfExplain",NoDistractions,,"Interleaved, TestPractice, ReRead, SelfExplain",Value,,1,"ReRead, TestPractice, ",NA,NA,NA,"SelfExplain, Summary",NoteTaking,,"Interrogation, SelfExplain, Summary",,NoteTaking,Yes,"Used self-explanation to gain deeper understanding of how the content relates to what the student had known previously. Also, used summarization to develop a study guide. ",1,Study Guide,Schedule practice for Thursdays,NA,NA,0,1,1,0,1,1,0,A,90,A,90,Confident,N,"Had study guide on hand, had confidence ",Check answers after answering all question,NA,,NA,"SelfExplain, Distributed, ReRead",,NA,N,Did not study which did not improve their grade,Slides from class,Study every Thursday,NA,NA,0,1,1,0,1,1,1,A,90,C+,90,"Confident, Confused",N,"doesn't read carefully, did not review answers",NA,2,,92,A,94.06,
S9,First Year Student/Freshman,Cisgender Female,White or European American ,"Summary, TestPractice, Highlight, ReRead, Distributed, SelfExplain",NoteTaking,,"Interleaved, TestPractice, Summary, ReRead, Distributed","NoDistractions, MasterBasics",,1,"Library, Notes from class, keeping phone away",Study one week before the exam,Office hours ,NA,"Distributed, Interrogation, SelfExplain, ReRead, Highlight",,,"Distributed, Interrogation, SelfExplain, ReRead, Mnemonic, Interleaved, TestPractice",,,Yes,Using Dunlosky strategies helped student use notes effectively ,,"R studio assignments, lab assignments",Complete assignments multiple times for practice,NA,NA,0,1,1,0,1,1,0,A,95,A,95,"surpised to know the answers, cautious",N,,"Review notes and lecture materials before the exam, keep up with studying","ReRead, Highlighting",,,"Interrogation, SelfExplain",,NA,Y,NA,Portfolio Assignment,Prepare for exam a week or more before exam,NA,NA,0,1,1,0,0,1,0,A,95,A,95,"Knowledgable, confused ",N,,"Know more material beforehand, to avoid notes. ",2,,98.4,A,98.74,
S7,First Year Student/Freshman,Cisgender Female,White or European American ,TestPractice ,NA,,"Distributed, Interleaved",NA,,,"Quizlet, practice questions",Practice 20 minutes each day,NA,NA,"Distributed, TestPractice",,,Distributed,,,Yes,Distributed helped student remember earlier concepts,,"Study Guide, practice questions",Start studying immediately instead of waiting until just before the next exam.,NA,NA,0,"1, -1",1,0,0,1,0,B,85,C,75,"good, confused, unsure, challenged",N,,"Complete easier questions first, then come back to harder questions","TestPractice, Distributed",,,"TestPractice, Distributed ",,,Y,Score was raised several points using practice testing and distributed practice ,"Quizlet, practice problems, practice tests",Study 30 minutes per day,NA,NA,0,1,1,0,0,-1,0,B,85,B,84,"confident, confused",N,,Double check answers after finishing the exam,1,88,96.8,A,93.58,wasn't sure if I should code usefulness of the assignments. See MC 3 
S61,Do Not Wish to Disclose,Do Not Wish to Disclose,Do Not Wish to Disclose,ReRead,"NoteTaking, GroupStudy",,Summary,"NoDistractions, Value, Feedback",,1,Flow Charts,"Daily study, study 5 days before exam, Honest self-evaluation on what topics need the most work ",NA,Understand differences between topics,"Highlight, Summary, Imagery",,,"Distributed, TestPractice",,,Yes,Highlighting and summaries helped the student understand big concepts. Imagery helped the student with remembering. ,,Calendar ,Make a plan for studying the week before the exam.,NA,NA,0,1,1,0,0,-1,0,A,95,C,75,"confident, confused",N,,"Increase study frequency, use process of elimination",Highlight,,,"Highlight, Summary, TestPractice, Distributed",,,Y,Highlighting helped the student find the important sections in their notes during the exam,NA,NA,NA,NA,0,0,0,0,1,1,0,A,90,C-,72,unsure ,N,,"Skip hard questions and come back to them, double check answers when done ",3,,88,B,94.04,
S6,Second Year Student/Sophomore,Cisgender Female,Black or African American,"Highlight, ReRead",NA,,"Distributed, TestPractice",NA,,,"Problem sets, powerpoint slides, lecture notes, quizlet, ",Schedule study time ,Office hours ,NA,"ReRead, Highlight ",,,Distributed ,,,Yes,"Did not use Dunlosky stategies, but belives they are effective ",,library,"start day earlier to allow for morning study time, go to the library for a quiet study environment",NA,NA,1,-1,-1,0,0,0,-1,B,80,C,70,"confident, confused, rushed ",N,,flag questions they want to double check,"TestPractice, ReRead",,NA,Distributed,,,N,Time managment issues ,NA,NA,NA,Wants to understand why they have time managment issues to be able to implement study plan,0,-1,-1,0,0,-1,0,B,85,D,69,"confident, forgetful, second guessing, stuck",N,,"more time for each question, no double checking due to fatigue concerns",3,NA,32.8,F,74.07,
S66,Second Year Student/Sophomore,Cisgender Female,White or European American,"SelfExplain, Distributed, Interleaved",NA,,NA,"NoDistractions, MasterBasics, ",,1,"Portfolio, library, problem sets","Study for one class at a time, no eating while studying, write equations in portfolio",NA,NA,NA,"NoDistractions, Value",,NA,,NoteTaking,Yes,NA,NA,portfolio,wake-up earlier to study,"Office hours, TA",NA,1,-1,-1,0,0,0,1,A,92,B,84,"confident, stumped, stressed",N,,NA,Interleaved ,,NoDistractions,TestPractice ,,Value,Y,NA,NA,Take time to review after finishing other schoolwork,NA,NA,1,-1,0,0,0,1,-1,A,90,B,88,"confused, hesitant, confident, confused ",N,,Keep track of time during next exam ,1,NA,,,,
S65,Second Year Student/Sophomore,Cisgender Man,White or European American,"Summary, TestPractice, Highlight",GroupStudy,,"ReRead, Interrogation, Summary, Distributed",NA,,1,"FaceTime, Study guide","ReRead content on different days, create schedule for practice",Mom,Call mom to explain concepts for deeper understanding,"Highlight, SelfExplain",NA,,"Distributed, Highlight, SelfExplain",,NA,Yes,helped student to see where they needed to study the most.,0,"Notes, Friends",Loose weekly schedule for studying,Friends in class,Explain concepts to friends,0,1,1,0,1,0,0,A,92.5,A,95,somewhat confident,N,,"attend lecture, take good notes",NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,83.2,B,92.4,
S64,First Year Student/Freshman,Cisgender Woman,White or European American,"Summary, Distributed",NA,,"Distributed, TestPractice, Interrogation","NoDistractions, MasterBasics, ",,1,Flashcards,Study 20-30 minutes per night,NA,NA,"TestPractice, Distributed, ",NA,,"TestPractice, Distributed, SelfExplain, Interleaved, SelfExplain, ",,NA,"Yes, No","Helped student practice possible exam questions, but they didn't spend enough time on equations",0,NA,practice different concepts for 10 min each,NA,NA,0,1,0,0,-1,0,0,B,80,D,68,"Good, confident, prepared, confused",N,,Skip hard questions and came back to them later. Organized Notes,"ReRead, TestPractice",,NA,"TestPractice, Distributed, SelfExplain",,NA,Yes,helped student see the content using real examples,Practice problems,Practice 20 minutes each night ,"parents, friends",teach concepts to parents and friends to better understand concepts,0,0,0,0,1,0,0,B,80,D,61.6,"okay, confused, struggle",N,,"quiet place, no distractions",2,,55.2,F,83.03,
S63,Second Year Student/Sophmore,Cisgender Woman,White or European American,"ReRead, Highlight, TestPractice, Distributed",NoteTaking,,"Distributed, Interleaved, TestPractice",NoteTaking,,0,"Study Guide, lecture notes",NA,NA,NA,"Distributed, TestPractice, ReRead",NA,,"Highlight, Interrogation, Summary",,NoteTaking,Yes,"Helped student identify where they need to study more, kept material fresh in the mind",0,NA,NA,"Office hours, TA",use notes to give their own explanation of the concepts,0,1,0,0,1,1,0,B,85,B,82,Confident,N,,"Complete easier questions first, then come back to harder questions","ReRead, Imagery",,NA,"Interleaved, Highlight, ",,NA,Yes,helped student develop their own understanding of the topics and how they are related to real world problems,Highlighter,NA,NA,NA,0,0,0,1,1,-1,0,B,80,C,76.8,"less confident, confused",Y,,"easy questions first, harder questions after",1,,62.4,D,91.81,
